,Warehouse_block,Mode_of_shipment,Customer_care_calls,Customer_rating,Cost_of_the_product_($),Prior_purchases,Prior_purchases_interval,Product_importance,Gender,Discount_offered_($),Discount_interval,Weight_in_gms,Weight_Category,Reached_on_Time_(0/1),Revenue_($)
1908,D,Road,5,3,220,3,2 - 4,Low,M,37,> 10,2294,Small,1,183
1909,E,Road,4,4,224,3,2 - 4,Low,M,29,> 10,3623,Medium,1,195
1910,A,Road,4,5,162,3,2 - 4,Low,F,31,> 10,1170,Small,1,131
1911,B,Road,4,2,202,4,2 - 4,Low,F,1,0 - 4,3602,Medium,1,201
1912,C,Road,3,5,226,3,2 - 4,Medium,M,5,4 - 10,3914,Medium,1,221
1913,E,Flight,4,3,246,2,0 - 2,Low,M,60,> 10,2086,Small,1,186
1914,D,Flight,5,2,223,3,2 - 4,Low,F,51,> 10,3687,Medium,1,172
1915,E,Flight,5,2,156,2,0 - 2,Medium,M,19,> 10,1311,Small,1,137
1916,A,Flight,2,5,189,2,0 - 2,Low,M,38,> 10,3708,Medium,1,151
1917,B,Flight,5,4,242,3,2 - 4,High,F,2,0 - 4,3564,Medium,1,240
1918,C,Flight,4,5,207,2,0 - 2,Medium,F,49,> 10,3736,Medium,1,158
1919,E,Flight,3,3,161,3,2 - 4,Low,F,24,> 10,1920,Small,1,137
1920,D,Flight,4,5,232,2,0 - 2,Low,F,21,> 10,3128,Medium,1,211
1921,E,Flight,6,4,194,3,2 - 4,Low,M,10,> 10,2554,Small,1,184
1922,A,Flight,5,5,161,3,2 - 4,Medium,F,59,> 10,1037,Small,1,102
1923,B,Flight,4,1,269,3,2 - 4,Medium,F,23,> 10,3652,Medium,1,246
1924,C,Flight,3,3,219,2,0 - 2,Low,F,41,> 10,3932,Medium,1,178
1925,E,Flight,5,2,161,2,0 - 2,Medium,F,59,> 10,1859,Small,1,102
1926,D,Flight,3,1,264,4,2 - 4,Low,M,33,> 10,3561,Medium,1,231
1927,E,Flight,5,2,151,3,2 - 4,Medium,M,20,> 10,1395,Small,1,131
1928,A,Flight,5,5,177,2,0 - 2,High,F,31,> 10,2000,Small,1,146
1929,B,Flight,2,5,193,5,2 - 4,Medium,F,13,> 10,2882,Small,1,180
1930,C,Flight,4,4,212,4,2 - 4,Medium,M,16,> 10,2494,Small,1,196
1931,E,Flight,4,1,210,2,0 - 2,Medium,F,7,4 - 10,3405,Medium,1,203
1932,D,Flight,4,2,164,2,0 - 2,Medium,F,43,> 10,1976,Small,1,121
1933,E,Flight,4,2,219,3,2 - 4,Low,M,2,0 - 4,3402,Medium,1,217
1934,A,Flight,4,4,216,4,2 - 4,Medium,M,27,> 10,3740,Medium,1,189
1935,B,Ship,5,2,174,2,0 - 2,Medium,M,54,> 10,1091,Small,1,120
1936,C,Ship,3,5,199,2,0 - 2,Low,M,46,> 10,2728,Small,1,153
1937,E,Ship,3,4,181,3,2 - 4,Low,M,45,> 10,2486,Small,1,136
1938,D,Ship,3,2,220,3,2 - 4,Low,M,22,> 10,2818,Small,1,198
1939,E,Ship,3,1,215,2,0 - 2,Low,F,47,> 10,3678,Medium,1,168
1940,A,Ship,4,5,248,4,2 - 4,High,F,56,> 10,2840,Small,1,192
1941,B,Ship,3,2,183,4,2 - 4,Low,M,49,> 10,2414,Small,1,134
1942,C,Ship,4,2,194,4,2 - 4,Medium,F,26,> 10,3818,Medium,1,168
1943,E,Ship,4,4,224,2,0 - 2,High,F,31,> 10,2084,Small,1,193
1944,D,Ship,4,4,184,3,2 - 4,Low,F,52,> 10,3128,Medium,1,132
1945,E,Ship,4,1,160,2,0 - 2,Low,M,28,> 10,1276,Small,1,132
1946,A,Ship,5,1,182,3,2 - 4,Low,M,8,4 - 10,3580,Medium,1,174
1947,B,Ship,3,2,116,2,0 - 2,Low,F,22,> 10,1430,Small,1,94
1948,C,Ship,4,4,170,4,2 - 4,Low,M,39,> 10,1868,Small,1,131
1949,E,Ship,5,1,201,2,0 - 2,Medium,F,54,> 10,2158,Small,1,147
1950,D,Ship,4,3,148,2,0 - 2,Low,M,29,> 10,1809,Small,1,119
1951,E,Ship,5,1,165,3,2 - 4,Low,F,27,> 10,1905,Small,1,138
1952,A,Ship,3,5,135,3,2 - 4,Low,M,20,> 10,1772,Small,1,115
1953,B,Ship,4,4,263,2,0 - 2,Medium,F,41,> 10,3955,Medium,1,222
1954,C,Ship,5,4,228,3,2 - 4,Medium,M,20,> 10,3382,Medium,1,208
1955,E,Ship,6,5,275,5,2 - 4,Medium,M,51,> 10,3569,Medium,1,224
1956,D,Ship,4,1,224,3,2 - 4,Low,M,27,> 10,3400,Medium,1,197
1957,E,Ship,3,1,202,3,2 - 4,Low,F,1,0 - 4,3738,Medium,1,201
1958,A,Ship,4,2,163,3,2 - 4,Low,F,11,> 10,1926,Small,1,152
1959,B,Ship,4,5,268,3,2 - 4,Low,F,64,> 10,2386,Small,1,204
1960,C,Ship,3,3,207,3,2 - 4,Low,F,62,> 10,3277,Medium,1,145
1961,E,Ship,2,3,117,2,0 - 2,Medium,M,36,> 10,1210,Small,1,81
1962,D,Ship,2,1,165,4,2 - 4,Low,F,57,> 10,1881,Small,1,108
1963,E,Ship,3,3,181,2,0 - 2,High,M,65,> 10,3234,Medium,1,116
1964,A,Ship,6,5,212,4,2 - 4,Medium,F,13,> 10,3676,Medium,1,199
1965,B,Ship,3,4,226,3,2 - 4,Medium,F,26,> 10,2299,Small,1,200
1966,C,Ship,4,1,195,3,2 - 4,Low,M,43,> 10,2849,Small,1,152
1967,E,Ship,4,5,263,2,0 - 2,Medium,M,13,> 10,2779,Small,1,250
1968,D,Ship,4,4,136,2,0 - 2,Medium,F,16,> 10,1131,Small,1,120
1969,E,Ship,3,5,163,2,0 - 2,Low,F,49,> 10,1034,Small,1,114
1970,A,Ship,5,2,144,3,2 - 4,Low,M,49,> 10,1202,Small,1,95
1971,B,Ship,4,4,240,3,2 - 4,Low,F,62,> 10,3478,Medium,1,178
1972,C,Ship,4,5,243,2,0 - 2,Low,M,19,> 10,2829,Small,1,224
1973,E,Ship,5,1,201,3,2 - 4,Medium,M,19,> 10,2696,Small,1,182
1974,D,Ship,5,3,242,3,2 - 4,Low,M,58,> 10,3411,Medium,1,184
1975,E,Ship,3,1,187,2,0 - 2,High,M,56,> 10,3774,Medium,1,131
1976,A,Ship,4,3,162,3,2 - 4,Low,M,53,> 10,1194,Small,1,109
1977,B,Ship,3,3,147,3,2 - 4,Low,M,16,> 10,1563,Small,1,131
1978,C,Ship,3,4,268,2,0 - 2,High,F,39,> 10,2822,Small,1,229
1979,E,Ship,4,3,237,3,2 - 4,Low,M,57,> 10,3952,Medium,1,180
1980,D,Ship,3,2,157,2,0 - 2,Low,M,29,> 10,1115,Small,1,128
1981,E,Ship,4,2,176,3,2 - 4,Medium,F,12,> 10,1750,Small,1,164
1982,A,Ship,4,5,134,4,2 - 4,Low,M,36,> 10,1191,Small,1,98
1983,B,Ship,3,4,234,2,0 - 2,Medium,M,52,> 10,3543,Medium,1,182
1984,C,Ship,3,3,154,2,0 - 2,Low,F,57,> 10,1096,Small,1,97
1985,E,Ship,2,1,209,5,2 - 4,Low,F,64,> 10,2016,Small,1,145
1986,D,Ship,5,4,138,2,0 - 2,Medium,M,38,> 10,1803,Small,1,100
1987,E,Ship,2,3,151,3,2 - 4,Medium,M,22,> 10,1024,Small,1,129
1988,A,Ship,4,4,252,6,2 - 4,Medium,M,44,> 10,2676,Small,1,208
1989,B,Ship,3,1,155,2,0 - 2,Medium,F,6,4 - 10,1490,Small,1,149
1990,C,Ship,3,3,139,4,2 - 4,High,M,17,> 10,1137,Small,1,122
1991,E,Ship,4,5,258,3,2 - 4,Medium,F,37,> 10,2289,Small,1,221
1992,D,Ship,4,2,172,3,2 - 4,Low,M,1,0 - 4,1182,Small,1,171
1993,E,Ship,4,3,239,3,2 - 4,Low,F,28,> 10,2741,Small,1,211
1994,A,Ship,3,1,165,3,2 - 4,Low,F,1,0 - 4,1417,Small,1,164
1995,B,Ship,4,5,177,2,0 - 2,Low,M,47,> 10,1536,Small,1,130
1996,C,Ship,5,1,187,2,0 - 2,Low,F,17,> 10,3513,Medium,1,170
1997,E,Ship,6,2,172,2,0 - 2,Low,M,41,> 10,1006,Small,1,131
1998,D,Ship,4,4,168,3,2 - 4,Low,F,35,> 10,1434,Small,1,133
1999,E,Ship,3,4,249,3,2 - 4,Low,M,31,> 10,3489,Medium,1,218
2000,A,Ship,4,3,135,3,2 - 4,Medium,F,11,> 10,1322,Small,1,124
2001,B,Ship,4,3,134,3,2 - 4,Medium,M,13,> 10,1985,Small,1,121
2002,C,Ship,3,1,269,2,0 - 2,Low,F,35,> 10,3524,Medium,1,234
2003,E,Ship,6,5,210,5,2 - 4,High,M,37,> 10,3236,Medium,1,173
2004,D,Ship,5,4,285,6,2 - 4,High,M,63,> 10,3151,Medium,1,222
2005,E,Ship,4,2,244,2,0 - 2,Medium,M,15,> 10,2857,Small,1,229
2006,A,Ship,3,2,209,2,0 - 2,Low,F,24,> 10,2748,Small,1,185
2007,B,Ship,4,3,154,3,2 - 4,Medium,M,52,> 10,1432,Small,1,102
2008,C,Ship,3,2,134,3,2 - 4,Medium,F,54,> 10,1932,Small,1,80
2009,E,Ship,3,5,168,4,2 - 4,Medium,M,23,> 10,1347,Small,1,145
2010,D,Ship,4,5,264,3,2 - 4,Medium,M,57,> 10,3753,Medium,1,207
2011,E,Ship,4,2,276,6,2 - 4,High,F,36,> 10,2843,Small,1,240
2012,A,Ship,3,4,195,3,2 - 4,Medium,M,23,> 10,3499,Medium,1,172
2013,B,Ship,5,3,174,5,2 - 4,Medium,M,47,> 10,1909,Small,1,127
2014,C,Ship,3,4,241,3,2 - 4,Low,F,50,> 10,3074,Medium,1,191
2015,E,Ship,5,5,166,3,2 - 4,Medium,F,20,> 10,1267,Small,1,146
2016,D,Ship,3,2,190,3,2 - 4,Low,M,37,> 10,3315,Medium,1,153
2017,E,Ship,3,1,231,2,0 - 2,Low,F,12,> 10,2123,Small,1,219
2018,A,Ship,5,4,206,4,2 - 4,Low,F,3,0 - 4,3755,Medium,1,203
2019,B,Ship,4,4,212,3,2 - 4,Medium,M,50,> 10,2073,Small,1,162
2020,C,Ship,3,5,212,3,2 - 4,Low,F,2,0 - 4,2456,Small,1,210
2021,E,Ship,4,5,246,6,2 - 4,Low,M,64,> 10,2271,Small,1,182
2022,D,Ship,4,4,264,2,0 - 2,Medium,F,12,> 10,2203,Small,1,252
2023,E,Ship,3,4,208,2,0 - 2,Low,F,37,> 10,2537,Small,1,171
2024,A,Ship,3,4,210,3,2 - 4,Low,F,7,4 - 10,2878,Small,1,203
2025,B,Ship,3,2,183,3,2 - 4,Low,F,44,> 10,2896,Medium,1,139
2026,C,Ship,4,2,265,3,2 - 4,Low,F,41,> 10,3498,Medium,1,224
2027,E,Ship,3,5,187,3,2 - 4,Low,M,20,> 10,2374,Small,1,167
2028,D,Road,2,4,183,3,2 - 4,Low,F,12,> 10,3090,Medium,1,171
2029,E,Road,3,3,176,2,0 - 2,Low,F,58,> 10,1730,Small,1,118
2030,A,Road,4,5,266,3,2 - 4,Medium,M,5,4 - 10,3718,Medium,1,261
2031,B,Road,3,2,143,4,2 - 4,Medium,F,22,> 10,1249,Small,1,121
2032,C,Road,3,4,195,2,0 - 2,Medium,F,32,> 10,3719,Medium,1,163
2033,E,Road,3,2,264,4,2 - 4,High,F,32,> 10,2754,Small,1,232
2034,D,Road,3,5,243,2,0 - 2,Medium,M,42,> 10,3421,Medium,1,201
2035,E,Road,5,2,142,2,0 - 2,Low,F,55,> 10,1758,Small,1,87
2036,A,Road,4,2,172,2,0 - 2,Low,M,23,> 10,1019,Small,1,149
2037,B,Road,4,1,280,3,2 - 4,Medium,M,2,0 - 4,3366,Medium,1,278
2038,C,Road,3,2,254,2,0 - 2,Low,M,37,> 10,2469,Small,1,217
2039,E,Road,5,2,202,3,2 - 4,Medium,M,34,> 10,3885,Medium,1,168
2040,D,Road,5,3,110,5,2 - 4,Low,M,21,> 10,1011,Small,1,89
2041,E,Road,4,4,162,2,0 - 2,Medium,M,30,> 10,1158,Small,1,132
2042,A,Road,3,3,183,3,2 - 4,Medium,M,21,> 10,2585,Small,1,162
2043,B,Road,4,2,260,2,0 - 2,Low,F,31,> 10,2805,Small,1,229
2044,C,Road,3,5,109,5,2 - 4,Low,M,27,> 10,1581,Small,1,82
2045,E,Road,3,3,273,4,2 - 4,Low,M,12,> 10,2151,Small,1,261
2046,D,Road,5,2,262,6,2 - 4,Medium,M,10,> 10,3164,Medium,1,252
2047,E,Road,2,4,239,5,2 - 4,Low,F,59,> 10,2181,Small,1,180
2048,A,Road,3,2,185,2,0 - 2,High,F,49,> 10,3864,Medium,1,136
2049,B,Road,4,4,248,3,2 - 4,Medium,M,59,> 10,2868,Small,1,189
2050,C,Flight,5,4,180,2,0 - 2,Low,M,52,> 10,1122,Small,1,128
2051,E,Flight,4,5,221,3,2 - 4,Low,F,43,> 10,3561,Medium,1,178
2052,D,Flight,3,5,162,2,0 - 2,Low,M,28,> 10,1948,Small,1,134
2053,E,Flight,2,5,162,4,2 - 4,Medium,M,49,> 10,1671,Small,1,113
2054,A,Flight,3,1,145,2,0 - 2,Low,M,28,> 10,1313,Small,1,117
2055,B,Flight,5,3,228,3,2 - 4,Medium,F,38,> 10,3631,Medium,1,190
2056,C,Flight,3,4,196,3,2 - 4,Low,M,47,> 10,2447,Small,1,149
2057,E,Flight,3,4,254,2,0 - 2,High,M,56,> 10,3266,Medium,1,198
2058,D,Flight,5,2,215,2,0 - 2,Medium,M,46,> 10,3942,Medium,1,169
2059,E,Flight,5,2,265,3,2 - 4,Medium,F,33,> 10,2734,Small,1,232
2060,A,Flight,3,2,173,3,2 - 4,High,M,60,> 10,1582,Small,1,113
2061,B,Flight,4,2,233,7,2 - 4,Medium,M,64,> 10,3146,Medium,1,169
2062,C,Flight,4,3,213,2,0 - 2,Low,M,27,> 10,2034,Small,1,186
2063,E,Flight,4,1,124,2,0 - 2,Medium,M,22,> 10,1714,Small,1,102
2064,D,Flight,3,4,156,4,2 - 4,Medium,F,7,4 - 10,1492,Small,1,149
2065,E,Flight,3,1,265,3,2 - 4,Medium,M,11,> 10,2194,Small,1,254
2066,A,Flight,3,1,139,3,2 - 4,High,F,6,4 - 10,1269,Small,1,133
2067,B,Flight,2,4,225,10,> 4,High,M,46,> 10,2690,Small,1,179
2068,C,Flight,5,4,178,7,2 - 4,Medium,F,36,> 10,1179,Small,1,142
2069,E,Flight,3,4,190,10,> 4,Medium,F,32,> 10,2064,Small,1,158
2070,D,Flight,3,4,272,10,> 4,Medium,M,63,> 10,2455,Small,1,209
2071,E,Flight,3,1,153,2,0 - 2,Medium,F,51,> 10,1841,Small,1,102
2072,A,Ship,3,1,235,10,> 4,Low,M,7,4 - 10,2991,Medium,1,228
2073,B,Ship,5,1,214,3,2 - 4,Low,M,33,> 10,2562,Small,1,181
2074,C,Ship,3,4,175,2,0 - 2,Low,F,2,0 - 4,1072,Small,1,173
2075,E,Ship,3,1,176,3,2 - 4,Low,F,63,> 10,1420,Small,1,113
2076,D,Ship,3,4,172,10,> 4,High,F,23,> 10,1875,Small,1,149
2077,E,Ship,5,2,195,6,2 - 4,Low,M,35,> 10,1852,Small,1,160
2078,A,Ship,3,5,271,4,2 - 4,Low,F,10,> 10,1679,Small,1,261
2079,B,Ship,5,4,228,3,2 - 4,Medium,M,42,> 10,3145,Medium,1,186
2080,C,Ship,3,4,196,3,2 - 4,Low,F,52,> 10,2129,Small,1,144
2081,E,Ship,3,1,254,2,0 - 2,High,F,60,> 10,3590,Medium,1,194
2082,D,Ship,5,4,215,2,0 - 2,Medium,M,34,> 10,2713,Small,1,181
2083,E,Ship,5,5,265,3,2 - 4,Medium,M,46,> 10,3997,Medium,1,219
2084,A,Ship,3,2,173,3,2 - 4,High,M,40,> 10,1723,Small,1,133
2085,B,Ship,4,2,233,7,2 - 4,Medium,M,56,> 10,3925,Medium,1,177
2086,C,Ship,4,4,213,2,0 - 2,Low,F,27,> 10,2938,Medium,1,186
2087,E,Ship,4,2,124,2,0 - 2,Medium,M,50,> 10,1592,Small,1,74
2088,D,Ship,3,5,156,4,2 - 4,Medium,F,26,> 10,1769,Small,1,130
2089,E,Ship,3,1,265,3,2 - 4,Medium,F,61,> 10,3010,Medium,1,204
2090,A,Ship,3,2,139,3,2 - 4,High,F,4,0 - 4,1546,Small,1,135
2091,B,Ship,2,4,225,10,> 4,High,M,56,> 10,3384,Medium,1,169
2092,C,Ship,5,4,178,7,2 - 4,Medium,M,52,> 10,1824,Small,1,126
2093,E,Ship,3,3,190,10,> 4,Medium,M,4,0 - 4,3062,Medium,1,186
2094,D,Ship,3,5,272,10,> 4,Medium,M,59,> 10,2182,Small,1,213
2095,E,Ship,3,4,153,2,0 - 2,Medium,M,37,> 10,1740,Small,1,116
2096,A,Ship,3,1,235,10,> 4,Low,M,56,> 10,2175,Small,1,179
2097,B,Ship,5,4,214,3,2 - 4,Low,M,52,> 10,3403,Medium,1,162
2098,C,Ship,3,5,175,2,0 - 2,Low,F,40,> 10,1460,Small,1,135
2099,E,Ship,3,2,176,3,2 - 4,Low,F,29,> 10,1953,Small,1,147
2100,D,Ship,3,1,172,10,> 4,High,F,30,> 10,1294,Small,1,142
2101,E,Ship,5,1,195,6,2 - 4,Low,F,29,> 10,1039,Small,1,166
2102,A,Ship,3,5,164,3,2 - 4,Low,M,61,> 10,1473,Small,1,103
2103,B,Ship,3,1,231,3,2 - 4,Medium,F,33,> 10,2755,Small,1,198
2104,C,Ship,5,5,248,3,2 - 4,Medium,F,9,4 - 10,3873,Medium,1,239
2105,E,Ship,4,5,237,2,0 - 2,Medium,F,60,> 10,3427,Medium,1,177
2106,D,Ship,3,1,111,4,2 - 4,Low,F,8,4 - 10,1620,Small,1,103
2107,E,Ship,5,5,106,5,2 - 4,Low,F,46,> 10,1275,Small,1,60
2108,A,Ship,4,2,139,3,2 - 4,Low,M,29,> 10,1365,Small,1,110
2109,B,Ship,4,3,149,2,0 - 2,Low,F,58,> 10,1657,Small,1,91
2110,C,Ship,4,5,180,3,2 - 4,Low,F,24,> 10,1513,Small,1,156
2111,E,Ship,3,2,212,2,0 - 2,Medium,F,65,> 10,3776,Medium,1,147
2112,D,Ship,4,2,183,3,2 - 4,Low,M,5,4 - 10,3716,Medium,1,178
2113,E,Ship,6,4,164,5,2 - 4,Low,M,20,> 10,1555,Small,1,144
2114,A,Ship,4,1,143,3,2 - 4,Medium,F,28,> 10,1197,Small,1,115
2115,B,Ship,3,3,162,2,0 - 2,Medium,M,5,4 - 10,1202,Small,1,157
2116,C,Ship,4,2,202,4,2 - 4,Medium,M,56,> 10,3098,Medium,1,146
2117,E,Ship,3,2,135,2,0 - 2,Medium,F,2,0 - 4,1150,Small,1,133
2118,D,Ship,3,2,232,2,0 - 2,Low,F,58,> 10,2054,Small,1,174
2119,E,Ship,3,3,218,3,2 - 4,Low,M,19,> 10,3770,Medium,1,199
2120,A,Ship,5,4,177,2,0 - 2,Low,M,14,> 10,1735,Small,1,163
2121,B,Ship,4,4,168,2,0 - 2,Medium,M,63,> 10,1474,Small,1,105
2122,C,Ship,3,4,181,2,0 - 2,Medium,F,45,> 10,3448,Medium,1,136
2123,E,Ship,3,2,238,2,0 - 2,Low,F,29,> 10,3728,Medium,1,209
2124,D,Ship,3,2,250,5,2 - 4,Low,F,36,> 10,2717,Small,1,214
2125,E,Ship,3,1,152,2,0 - 2,Low,F,25,> 10,1848,Small,1,127
2126,A,Ship,4,5,242,4,2 - 4,Low,F,35,> 10,3215,Medium,1,207
2127,B,Ship,3,1,236,2,0 - 2,High,M,2,0 - 4,3949,Medium,1,234
2128,C,Ship,4,1,238,4,2 - 4,Low,F,22,> 10,3950,Medium,1,216
2129,E,Ship,4,4,165,5,2 - 4,Low,M,21,> 10,1727,Small,1,144
2130,D,Ship,4,2,271,3,2 - 4,Medium,M,50,> 10,3448,Medium,1,221
2131,E,Ship,3,3,109,2,0 - 2,Medium,M,18,> 10,1661,Small,1,91
2132,A,Ship,4,1,235,3,2 - 4,High,F,22,> 10,3695,Medium,1,213
2133,B,Ship,3,3,186,3,2 - 4,Medium,M,49,> 10,2356,Small,1,137
2134,C,Ship,4,1,202,2,0 - 2,Low,M,40,> 10,2327,Small,1,162
2135,E,Ship,3,3,188,4,2 - 4,Medium,M,3,0 - 4,3075,Medium,1,185
2136,D,Ship,5,3,224,2,0 - 2,Medium,M,52,> 10,3824,Medium,1,172
2137,E,Ship,5,3,239,4,2 - 4,Low,M,3,0 - 4,3734,Medium,1,236
2138,A,Ship,2,3,140,2,0 - 2,Medium,M,20,> 10,1832,Small,1,120
2139,B,Ship,6,3,272,3,2 - 4,Low,F,39,> 10,2518,Small,1,233
2140,C,Ship,3,3,160,3,2 - 4,Medium,F,65,> 10,1228,Small,1,95
2141,E,Ship,3,3,261,3,2 - 4,Medium,M,14,> 10,3479,Medium,1,247
2142,D,Ship,3,5,199,3,2 - 4,Medium,F,62,> 10,3259,Medium,1,137
2143,E,Ship,3,1,154,2,0 - 2,Medium,F,56,> 10,1300,Small,1,98
2144,A,Ship,3,5,237,3,2 - 4,Low,M,55,> 10,2451,Small,1,182
2145,B,Ship,4,4,181,3,2 - 4,Low,M,44,> 10,2070,Small,1,137
2146,C,Ship,3,3,133,6,2 - 4,Low,F,10,> 10,1686,Small,1,123
2147,E,Ship,3,4,150,3,2 - 4,Medium,M,47,> 10,1511,Small,1,103
2148,D,Ship,6,5,152,3,2 - 4,Medium,F,62,> 10,1325,Small,1,90
2149,E,Ship,6,1,142,5,2 - 4,Low,F,30,> 10,1464,Small,1,112
2150,A,Ship,4,3,214,2,0 - 2,Low,M,57,> 10,2078,Small,1,157
2151,B,Ship,5,1,155,2,0 - 2,Medium,F,40,> 10,1024,Small,1,115
2152,C,Ship,4,2,191,2,0 - 2,Low,M,11,> 10,3985,Medium,1,180
2153,E,Ship,4,5,133,2,0 - 2,Medium,M,39,> 10,1106,Small,1,94
2154,D,Ship,3,3,211,4,2 - 4,High,F,22,> 10,2942,Medium,1,189
2155,E,Ship,4,3,212,4,2 - 4,Low,M,28,> 10,2422,Small,1,184
2156,A,Ship,3,1,150,2,0 - 2,Low,M,9,4 - 10,1158,Small,1,141
2157,B,Ship,3,5,208,3,2 - 4,Low,F,41,> 10,3977,Medium,1,167
2158,C,Ship,4,2,157,2,0 - 2,Medium,M,15,> 10,1724,Small,1,142
2159,E,Ship,4,4,228,3,2 - 4,Low,M,60,> 10,2715,Small,1,168
2160,D,Ship,3,4,254,2,0 - 2,Medium,F,44,> 10,3786,Medium,1,210
2161,E,Ship,4,2,270,2,0 - 2,Low,M,65,> 10,3599,Medium,1,205
2162,A,Ship,6,2,195,3,2 - 4,Medium,M,30,> 10,3462,Medium,1,165
2163,B,Ship,4,5,193,4,2 - 4,Low,M,33,> 10,2173,Small,1,160
2164,C,Ship,5,4,165,3,2 - 4,Medium,F,48,> 10,1240,Small,1,117
2165,E,Road,3,1,177,2,0 - 2,Low,M,38,> 10,1099,Small,1,139
2166,D,Road,3,4,244,3,2 - 4,Low,F,46,> 10,2844,Small,1,198
2167,E,Road,3,2,151,2,0 - 2,Low,M,26,> 10,1793,Small,1,125
2168,A,Road,3,1,164,2,0 - 2,Low,M,2,0 - 4,1104,Small,1,162
2169,B,Road,5,1,165,3,2 - 4,Low,F,37,> 10,1228,Small,1,128
2170,C,Road,3,4,256,2,0 - 2,Medium,M,55,> 10,2247,Small,1,201
2171,E,Road,4,4,150,4,2 - 4,Low,M,5,4 - 10,1263,Small,1,145
2172,D,Road,2,3,255,3,2 - 4,Low,M,27,> 10,3484,Medium,1,228
2173,E,Road,4,3,268,3,2 - 4,Medium,F,23,> 10,2996,Medium,1,245
2174,A,Road,3,5,166,3,2 - 4,Low,F,1,0 - 4,1366,Small,1,165
2175,B,Road,3,5,230,3,2 - 4,Low,F,49,> 10,3477,Medium,1,181
2176,C,Road,4,3,163,3,2 - 4,Low,F,45,> 10,1395,Small,1,118
2177,E,Road,4,4,139,3,2 - 4,High,F,64,> 10,1415,Small,1,75
2178,D,Road,3,5,161,3,2 - 4,Medium,F,10,> 10,1978,Small,1,151
2179,E,Road,6,2,181,4,2 - 4,High,F,6,4 - 10,3003,Medium,1,175
2180,A,Road,4,1,242,3,2 - 4,High,M,47,> 10,3489,Medium,1,195
2181,B,Road,3,3,151,3,2 - 4,Low,F,24,> 10,1139,Small,1,127
2182,C,Road,3,4,167,3,2 - 4,Medium,M,50,> 10,1068,Small,1,117
2183,E,Road,3,2,257,3,2 - 4,Low,F,25,> 10,2334,Small,1,232
2184,D,Road,3,2,204,2,0 - 2,Medium,F,35,> 10,2090,Small,1,169
2185,E,Road,5,3,219,3,2 - 4,Low,M,1,0 - 4,2027,Small,1,218
2186,A,Road,3,4,202,3,2 - 4,Medium,M,28,> 10,3707,Medium,1,174
2187,B,Flight,4,5,155,2,0 - 2,Medium,M,41,> 10,1367,Small,1,114
2188,C,Flight,3,3,183,3,2 - 4,High,F,6,4 - 10,3364,Medium,1,177
2189,E,Flight,5,1,184,3,2 - 4,Low,F,19,> 10,2625,Small,1,165
2190,D,Flight,4,5,230,2,0 - 2,Low,F,38,> 10,2890,Medium,1,192
2191,E,Flight,4,2,139,4,2 - 4,Low,F,41,> 10,1511,Small,1,98
2192,A,Flight,4,4,252,3,2 - 4,Medium,F,7,4 - 10,2477,Small,1,245
2193,B,Flight,3,2,272,3,2 - 4,Medium,F,40,> 10,3766,Medium,1,232
2194,C,Flight,3,2,134,3,2 - 4,Low,F,20,> 10,1391,Small,1,114
2195,E,Flight,3,5,169,3,2 - 4,Medium,M,13,> 10,1934,Small,1,156
2196,D,Flight,4,2,214,2,0 - 2,Low,M,49,> 10,3416,Medium,1,165
2197,E,Flight,3,3,163,3,2 - 4,Medium,F,65,> 10,1614,Small,1,98
2198,A,Flight,4,2,150,3,2 - 4,Low,F,48,> 10,1193,Small,1,102
2199,B,Flight,5,5,216,2,0 - 2,High,M,33,> 10,3202,Medium,1,183
2200,C,Flight,5,2,116,5,2 - 4,High,F,56,> 10,1130,Small,1,60
2201,E,Flight,3,4,144,2,0 - 2,Low,F,33,> 10,1811,Small,1,111
2202,D,Flight,5,3,266,3,2 - 4,Low,F,19,> 10,2508,Small,1,247
2203,E,Flight,3,3,154,4,2 - 4,Medium,F,62,> 10,1616,Small,1,92
2204,A,Flight,4,3,255,5,2 - 4,Low,M,18,> 10,3644,Medium,1,237
2205,B,Flight,6,2,229,3,2 - 4,Medium,M,13,> 10,2322,Small,1,216
2206,C,Flight,2,1,111,3,2 - 4,Medium,M,16,> 10,1882,Small,1,95
2207,E,Flight,3,3,160,2,0 - 2,Medium,F,32,> 10,1718,Small,1,128
2208,D,Flight,3,1,184,2,0 - 2,Low,F,31,> 10,3191,Medium,1,153
2209,E,Ship,4,4,218,4,2 - 4,Low,M,45,> 10,3234,Medium,1,173
2210,A,Ship,5,1,137,2,0 - 2,Low,M,52,> 10,1012,Small,1,85
2211,B,Ship,4,2,204,3,2 - 4,Medium,M,14,> 10,3829,Medium,1,190
2212,C,Ship,6,1,105,5,2 - 4,Low,F,57,> 10,1784,Small,1,48
2213,E,Ship,3,1,256,2,0 - 2,Medium,F,63,> 10,3046,Medium,1,193
2214,D,Ship,4,2,182,2,0 - 2,Medium,F,54,> 10,3261,Medium,1,128
2215,E,Ship,3,4,260,4,2 - 4,High,M,17,> 10,2666,Small,1,243
2216,A,Ship,4,2,166,3,2 - 4,Low,M,62,> 10,1944,Small,1,104
2217,B,Ship,5,2,160,4,2 - 4,Medium,M,43,> 10,1479,Small,1,117
